triples
"['February', 'are', '']"
"['S10', 'affect', 'influenza']"
"['impact', 'understand', 'impact']"
"['this', 'expected', '']"
"['Download high res imageBlack dots', 'distributed', 'prioritization']"
"['contact', 'Shown', '']"
"['more substantial age dependent vaccine effects', 'minimized', 'mortality']"
"['We', 'decrease', '']"
"['S11', 'correlate', 'protection']"
"['magnitude', 'change', '']"
"['vaccines', 'distributing', 'vaccines']"
"['We', 'simulated', 'approaches']"
"['vaccines', 'is', '']"
"['analysis', 'focused', 'scenario']"
"['rankings', 'test', 'consistency']"
"['sensitivity', 'vaccinating', 'individuals']"
"['results', 'incorporated', 'model']"
"['US', 'Shown', '']"
"['seroprevalence', 'provided', 'figs']"
"['DiscussionThis', 'evaluate', 'vaccine']"
"['vaccine', 'accounting', 'vaccine']"
"['recommendation', 'is', 'robust']"
"['model', 'prioritizing', 'adults']"
"['regime', 'was', 'presence']"
"['regime', 'characterized', 'rollout']"
"['regime', 'characterized', 'vaccines']"
"['pretransmission', 'is', 'line']"
"['vaccine', 'have', 'properties']"
"['conclusions', 'approved', 'age']"
"['we', 'considered', '']"
"['gain', 'weighed', 'challenges']"
"['Serostatus', 'is', 'indicator']"
"['Delays', 'impair', 'vaccine']"
"['We', 'is', 'available']"
"['contact', 'are', 'representative']"
"['scenarios', 'modeled', '']"
"['contexts', 'vary', 'population']"
"['degree', 'protect', 'reinfection']"
"['vaccine', 'including', '']"
"['susceptibility', 'emerging', '']"
"['susceptibility', 'remain', 'uncertain']"
"['it', 'is', 'constant']"
"['scenario', 'vaccinating', 'years']"
"['evaluation strategy', 'focuses', 'country']"
"['we', 'consider', 'variation']"
"['factors', 'accounted', 'study']"
"['Inclusion', 'be', 'possible']"
"['case', 'surveyed', 'years']"
"['We', 'extrapolated', 'contact']"
"['study', 'providing', 'forecasting']"
"['such', 'identify', 'strategies']"
"['Contact', 'control', 'virus']"
"['understanding', 'addressed', '']"
"['findings', 'minimize', 'mortality']"
"['Hallmarks', 'are', 'inequalities']"
"['modeling', 'structured', '']"
"['model', 'augmented', 'information']"
"['vaccine', 'harming', 'populations']"
"['We', 'deemed', '']"
"['honoraria', 'consulting', 'Antigen']"
"['faculty', 'is', '']"
"['Merck', 'consulting', '']"
"['member', 'is', 'member']"
"['work', 'cited', '']"
"['license', 'using', 'material']"
"['AAAS', 'is', 'partner']"
"['Lives', 'attack', '']"
"['invasion', 'called', '']"
"['immune system', 'fight', 'infection']"
"['Blood', 'carry', 'oxygen']"
"['types', 'invading', '']"
"['body', 'attack', '']"
"['They', 'left', 'macrophages']"
"['T lymphocytes', 'are', 'type']"
"['They', 'infected', '']"
"['time', 'causes', '']"
"['infection', 'is', 'immune']"
"['body', 'encounters', 'virus']"
"['Experts', 'causes', '']"
"['types', 'offer', 'protection']"
"['It', 'produce', 'vaccination']"
"['it', 'provide', 'protection']"
"['vaccination', 'building', 'immunity']"
"['symptoms', 'building', 'immunity']"
"['Types', 'causes', '']"
"['mRNA', 'is', 'unique']"
"['cells', 'make', 'copies']"
"['bodies', 'causes', '']"
"['Protein', 'cause', 'germ']"
"['immune system', 'vaccinated', '']"
"['we', 'infected', 'future']"
"['Vector', 'weakened', '']"
"['vector', 'is', '']"
"['instructions', 'Using', 'instructions']"
"['This', 'infected', 'future']"
"['Most Vaccines', 'Require', '']"
"['shot', 'offer', '']"
"['vaccine', 'needs', 'shot']"
"['LineProtection', 'cause', 'illness']"
"['pandemic', 'Stopping', 'pandemic']"
"['Vaccines', 'fight', 'virus']"
"['steps', 'exposed', 'virus']"
"['vaccination', 'protect', '']"
"['Disease', 'attest', 'accuracy']"
"['a non federal website', 'Linking', '']"
"['You', 'is', 'privacy']"
"['CDC', 'is', 'responsible']"
"['information', 'is', '']"
"['CancelIt', 'gives', 'protection']"
"['MHRA', 'follows', 'standards']"
"['They', 'are', 'safe']"
"['No long term complications', 'reported', '']"
"['you', 'distancing', '']"
"['you', 'have', 'reaction']"
"['you', 'stay', 'people']"
"['There', 'is', 'important']"
"['It', 'gives', 'protection']"
"['the vaccineMore centres', 'opening', '']"
"['NHS', 'have', 'vaccine']"
"['It', 'contact', 'NHS']"
"['Advice', 'are', 'childbearing']"
"['They', 'avoid', 'pregnancy']"
"['vaccine', 'get', 'pregnant']"
"['You', 'having', 'dose']"
"['MHRA', 'developed', '']"
"['They', 'given', '']"
"['vaccines', 'approved', 'UK']"
"['dose', 'give', 'protection']"
"['you', 'lasting', '']"
"['Staff', 'giving', 'vaccine']"
"['Spring', 'be', 'available']"
"['hub', 'looking', 'vaccine']"
"['website', 'answer', '']"
"['you', 'is', 'eligible']"
"['Vaccine', 'limited', '']"
"['KnowIt', 'get', 'brand']"
"['example', 'got', 'Moderna']"
"['timing', 'received', 'chance']"
"['CDC', 'getting', '']"
"['Texas', 'be', 'available']"
"['It', 'become', 'available']"
